Fund net assets,"Fossil fuel holdings, weight","Coal industry, weight","Oil / gas industry, weight","Fossil-fired utilities, weight",Fossil fuel finance fund score,"Fossil fuel finance holdings, weight",Fossil fuel insurance fund score,"Fossil fuel insurance holdings, weight","Clean200, weight"," Deforestation-risk producer, weight","Deforestation-risk financier, weight","Deforestation-risk consumer brand, weight",esg_score,grade
1660536,0.068,0.015,0.042,0.044,5.5,0.016,12.2,0.015,0.08,0.003,0.013,0.057,23.55,3
1810327,0.079,0.017,0.048,0.051,6.4,0.018,14.2,0.017,0.092,0.003,0.016,0.066,23.54,3
3610417,0.084,0.018,0.051,0.054,6.7,0.019,15.2,0.018,0.098,0.004,0.016,0.071,23.57,3
3849606,0.09,0.019,0.055,0.058,7.2,0.021,16.3,0.019,0.105,0.004,0.018,0.076,23.56,3
4041306,0.096,0.021,0.059,0.062,7.6,0.022,17.4,0.021,0.112,0.004,0.019,0.081,23.58,3
3937554,0.102,0.022,0.062,0.066,8,0.023,18.5,0.022,0.119,0.004,0.02,0.086,23.6,3
135153569,0.067,0,0,0.067,0,0,0,0,0.04,0,0,0.06,26,3
123381633,0.045,0,0,0.045,40.9,0.085,103.3,0.106,0,0,0.116,0,26.86,3
854705380,0,0,0,0,12.8,0.017,9.5,0.01,0.164,0,0.017,0.092,21.03,3
367527837,0.078,0.007,0.063,0.035,0,0,0,0,0.199,0,0.025,0.142,22.02,3
73157563,0.066,0.006,0.053,0.024,9.3,0.024,6.3,0.007,0.105,0.001,0.015,0.057,22.71,3
65323649,0.211,0,0.182,0.029,0,0,28.8,0.029,0.009,0,0,0.038,24.54,3
25368514,0.213,0,0.184,0.029,0,0,29,0.029,0.009,0,0,0.038,24.78,3
366076222,0.095,0.033,0.062,0.033,0,0,0,0,0.046,0,0,0,27.05,3
13498062,0.052,0,0.052,0.016,8.6,0.016,0,0,0.159,0.006,0.021,0.098,23.43,3
48387952,0.09,0.029,0.061,0.017,16.2,0.024,0,0,0.182,0,0.029,0.124,20.25,3
489522437,0.012,0,0.012,0,6.8,0.027,41.4,0.048,0.293,0,0.039,0.029,22.95,3
79475692,0.037,0,0.037,0,0,0,0,0,0.01,0,0,0,29.08,3
35411774,0.022,0,0.022,0.022,0,0,0,0,0,0.022,0,0.011,27.21,3
593037354,0.074,0.026,0.059,0.026,0,0,0,0,0,0,0,0.007,27.63,3
205166618,0.126,0.026,0.098,0.043,0,0,0,0,0,0,0,0,28.83,3
743520854,0.058,0.012,0.049,0.021,0,0,0,0,0,0,0,0,25.84,3
33368909,0.044,0,0.044,0,0,0,0,0,0,0,0,0,26.79,3
187667888,0.011,0,0.011,0,0,0,0,0,0.249,0,0,0.111,20.4,3
128500010,0.015,0,0.015,0,0,0,0,0,0.135,0,0,0.042,19.94,2
71186036,0.24,0.068,0.211,0.087,12.8,0.053,44.4,0.057,0.084,0,0,0.155,23.02,3
49879872,0.172,0.076,0.035,0.101,0,0,60.2,0.06,0,0,0,0.093,21.66,3
51262291,0.165,0.039,0.082,0.045,0,0,24.9,0.025,0.013,0,0,0.082,24.78,3
328050345,0.054,0.011,0.022,0.02,0,0,0,0,0,0,0,0.028,22.28,3
1021122910,0.098,0.043,0.028,0.061,0,0,17.5,0.03,0,0,0,0,27.21,3
314249310,0.107,0.037,0.043,0.057,0,0,15.4,0.027,0,0,0,0,26.11,3
114587975,0.041,0,0.023,0.018,0,0,0,0,0.017,0,0,0,23.07,3
1364243139,0.052,0,0.052,0,0,0,0,0,0.026,0,0,0,22.86,3
